Name,Position,Footed,Birthdate,Birthdate,Nationality,Club,Non-Penalty Goals,Non-Penalty xG(npxG),Shots Total,Assists,Expected Assisted Goals(xAG),npxG + xAG,Shot-Creating Actions,Passes Attempted,Pass Completion %,Progessive Passes,Progessive Carries,Successful Take-Ons,Touches(Att Pen),Tackles,Interceptions,Blocks,Clearances,Aerials Won
Facundo González,DF,N/A,June 6, 2003,Uruguay,Feyenoord,0.00,0.03,0.38,0.10,95  ,0.10,1.15,58.1,80.5%,4.68,0.67,0.57,0.76,1.24,0.86,1.34,3.73,2.29
Marcus Pedersen,DF(FB-right),Right,July 16, 2000,Norway,Torino,0.00,0.03,0.45,0.00,5   ,0.06,1.07,35.0,73.7%,1.24,2.59,1.74,5.23,1.18,0.56,1.18,2.36,0.56
Bart van Rooij,DF(FB-right),N/A,May 26, 2001,Netherlands,Twente,0.00,0.05,1.25,0.00,53  ,0.14,3.00,56.0,80.1%,2.25,1.75,1.00,3.13,3.00,0.63,1.63,2.63,0.75
Sem Steijn,MF(AM),N/A,November 17, 2001,Netherlands,Twente,0.00,0.15,1.92,0.00,1   ,0.18,2.07,25.3,73.1%,3.40,0.89,2.96,2.81,1.04,0.59,0.59,0.89,0.30
Michel Vlap,FW-MF(AM-CM),Right,June 2, 1997,Netherlands,Twente,0.14,0.09,1.22,0.14,71  ,0.23,3.12,69.4,80.1%,5.29,0.95,1.90,4.07,2.71,1.36,2.17,1.90,0.41
Youri Regeer,DF-MF,N/A,August 18, 2003,Netherlands,Ajax,0.00,0.14,0.58,0.39,90  ,0.33,2.13,46.3,83.3%,4.07,0.58,2.52,3.49,3.30,1.36,1.36,2.91,1.16
Max Bruns,DF,N/A,November 6, 2002,Netherlands,Twente,0.00,0.07,0.73,0.00,2   ,0.07,0.00,51.4,89.8%,3.64,1.64,0.91,0.18,1.45,0.73,1.64,4.55,1.45
Anass Salah-Eddine,DF,N/A,January 18, 2002,Netherlands,Roma,0.00,0.04,1.02,0.25,38  ,0.11,2.92,49.8,78.9%,4.06,2.67,1.40,3.05,2.92,1.78,0.89,2.41,0.89
Mees Hilgers,DF(CB),Right,May 13, 2001,Indonesia,Twente,0.00,0.04,0.37,0.00,2   ,0.04,0.56,51.3,85.5%,2.43,1.12,0.93,0.19,2.99,0.93,1.12,5.04,0.37
Ricky van Wolfswinkel,FW-MF,Right,January 27, 1989,Netherlands,Twente,0.00,0.17,1.37,0.00,1   ,0.19,1.24,20.2,71.2%,1.62,0.37,2.73,1.74,1.37,0.50,1.62,1.74,2.36
Gustaf Lagerbielke,DF(CB),Right,April 10, 2000,Sweden,Twente,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
